START MPC DATA
Title
  No title given
File version
 1
 
START DENSITY DATA
Self-consistent charge density in reciprocal space
 -9.9997547726526148E-01  1.0708272019024137E+00 -1.7308500780160352E-01
  9.9997547726526148E-01  1.0708272019024137E+00  1.7308500780160352E-01
 -9.9997547726526148E-01 -1.0708272019024137E+00 -1.7308500780160352E-01
  9.9997547726526148E-01 -1.0708272019024137E+00  1.7308500780160352E-01
 -4.9998773863263074E-01  1.0708272019024137E+00  8.9580391743628407E-01
 -4.9998773863263074E-01 -1.0708272019024137E+00  8.9580391743628407E-01
  4.9998773863263074E-01  1.0708272019024137E+00 -8.9580391743628407E-01
  4.9998773863263074E-01 -1.0708272019024137E+00 -8.9580391743628407E-01
 -9.9997547726526148E-01 -1.0708272019024137E+00  3.1808820286693940E-01
 -9.9997547726526148E-01  1.0708272019024137E+00  3.1808820286693940E-01
  9.9997547726526148E-01  1.0708272019024137E+00 -3.1808820286693940E-01
  9.9997547726526148E-01 -1.0708272019024137E+00 -3.1808820286693940E-01
 -1.4999632158978922E+00  0.0000000000000000E+00  2.3154569896613764E-01
  1.4999632158978922E+00  0.0000000000000000E+00 -2.3154569896613764E-01
  1.4999632158978922E+00  0.0000000000000000E+00  2.5962751170240528E-01
 -1.4999632158978922E+00  0.0000000000000000E+00 -2.5962751170240528E-01
  9.9997547726526148E-01  0.0000000000000000E+00  1.1554314291386893E+00
 -9.9997547726526148E-01  0.0000000000000000E+00 -1.1554314291386893E+00
  0.0000000000000000E+00 -5.3541360095120683E-01  1.4735196320056287E+00
  0.0000000000000000E+00  5.3541360095120683E-01 -1.4735196320056287E+00
  0.0000000000000000E+00  5.3541360095120683E-01  1.4735196320056287E+00
  0.0000000000000000E+00 -5.3541360095120683E-01 -1.4735196320056287E+00
  4.9998773863263074E-01  5.3541360095120683E-01 -1.3869771281048271E+00
  4.9998773863263074E-01 -5.3541360095120683E-01 -1.3869771281048271E+00
 -4.9998773863263074E-01 -5.3541360095120683E-01  1.3869771281048271E+00
 -4.9998773863263074E-01  5.3541360095120683E-01  1.3869771281048271E+00
  4.9998773863263074E-01  1.0708272019024137E+00  1.0688889252378875E+00
 -4.9998773863263074E-01 -1.0708272019024137E+00 -1.0688889252378875E+00
  4.9998773863263074E-01 -1.0708272019024137E+00  1.0688889252378875E+00
 -4.9998773863263074E-01  1.0708272019024137E+00 -1.0688889252378875E+00
  0.0000000000000000E+00  1.6062408028536206E+00  0.0000000000000000E+00
  0.0000000000000000E+00 -1.6062408028536206E+00  0.0000000000000000E+00
