START MPC DATA
Title
  No title given
File version
 1
 
START DENSITY DATA
Self-consistent charge density in reciprocal space
  8.2253134648764181E-01  0.0000000000000000E+00 -3.6758299502831449E-01
  0.0000000000000000E+00  0.0000000000000000E+00  9.3655717699449170E-01
  0.0000000000000000E+00  0.0000000000000000E+00 -9.3655717699449170E-01
 -4.1126567324382091E-01  5.5998626726854650E-01  6.5207008601140304E-01
 -4.1126567324382091E-01 -5.5998626726854650E-01  6.5207008601140304E-01
  4.1126567324382091E-01  5.5998626726854650E-01 -6.5207008601140304E-01
  4.1126567324382091E-01 -5.5998626726854650E-01 -6.5207008601140304E-01
 -8.2253134648764181E-01 -5.5998626726854650E-01 -1.0069559346893137E-01
 -8.2253134648764181E-01  5.5998626726854650E-01 -1.0069559346893137E-01
  8.2253134648764181E-01  5.5998626726854650E-01  1.0069559346893137E-01
  8.2253134648764181E-01 -5.5998626726854650E-01  1.0069559346893137E-01
 -8.2253134648764181E-01  0.0000000000000000E+00 -5.6897418196617722E-01
  8.2253134648764181E-01  0.0000000000000000E+00  5.6897418196617722E-01
 -4.1126567324382091E-01 -5.5998626726854650E-01 -7.5276567948033446E-01
  4.1126567324382091E-01 -5.5998626726854650E-01  7.5276567948033446E-01
  4.1126567324382091E-01  5.5998626726854650E-01  7.5276567948033446E-01
 -4.1126567324382091E-01  5.5998626726854650E-01 -7.5276567948033446E-01
  8.2253134648764181E-01  5.5998626726854650E-01 -3.6758299502831449E-01
  8.2253134648764181E-01 -5.5998626726854650E-01 -3.6758299502831449E-01
 -8.2253134648764181E-01 -5.5998626726854650E-01  3.6758299502831449E-01
 -8.2253134648764181E-01  5.5998626726854650E-01  3.6758299502831449E-01
  0.0000000000000000E+00  5.5998626726854650E-01 -9.3655717699449170E-01
  0.0000000000000000E+00  5.5998626726854650E-01  9.3655717699449170E-01
  0.0000000000000000E+00 -5.5998626726854650E-01 -9.3655717699449170E-01
  0.0000000000000000E+00 -5.5998626726854650E-01  9.3655717699449170E-01
  0.0000000000000000E+00 -1.1199725345370930E+00  0.0000000000000000E+00
  0.0000000000000000E+00  1.1199725345370930E+00  0.0000000000000000E+00
 -8.2253134648764181E-01 -5.5998626726854650E-01 -5.6897418196617722E-01
  8.2253134648764181E-01  5.5998626726854650E-01  5.6897418196617722E-01
  8.2253134648764181E-01 -5.5998626726854650E-01  5.6897418196617722E-01
 -8.2253134648764181E-01  5.5998626726854650E-01 -5.6897418196617722E-01
 -8.2253134648764181E-01  0.0000000000000000E+00  8.3586158352556039E-01
  8.2253134648764181E-01  0.0000000000000000E+00 -8.3586158352556039E-01
 -4.1126567324382091E-01  0.0000000000000000E+00  1.1203486745086491E+00
  4.1126567324382091E-01  0.0000000000000000E+00 -1.1203486745086491E+00
  4.1126567324382091E-01  1.1199725345370930E+00 -1.8379149751415724E-01
  4.1126567324382091E-01 -1.1199725345370930E+00 -1.8379149751415724E-01
 -4.1126567324382091E-01 -1.1199725345370930E+00  1.8379149751415724E-01
 -4.1126567324382091E-01  1.1199725345370930E+00  1.8379149751415724E-01
  0.0000000000000000E+00 -1.1199725345370930E+00  4.6827858849724585E-01
  0.0000000000000000E+00 -1.1199725345370930E+00 -4.6827858849724585E-01
  0.0000000000000000E+00  1.1199725345370930E+00  4.6827858849724585E-01
  0.0000000000000000E+00  1.1199725345370930E+00 -4.6827858849724585E-01
  4.1126567324382091E-01  1.1199725345370930E+00  2.8448709098308861E-01
  4.1126567324382091E-01 -1.1199725345370930E+00  2.8448709098308861E-01
 -4.1126567324382091E-01 -1.1199725345370930E+00 -2.8448709098308861E-01
 -4.1126567324382091E-01  1.1199725345370930E+00 -2.8448709098308861E-01
  1.2337970197314627E+00  0.0000000000000000E+00 -8.3095904045225877E-02
 -1.2337970197314627E+00  0.0000000000000000E+00  8.3095904045225877E-02
  4.1126567324382091E-01  0.0000000000000000E+00  1.2210442679775804E+00
 -4.1126567324382091E-01  0.0000000000000000E+00 -1.2210442679775804E+00
 -1.2337970197314627E+00  0.0000000000000000E+00 -3.8518268445201997E-01
  1.2337970197314627E+00  0.0000000000000000E+00  3.8518268445201997E-01
  8.2253134648764181E-01  5.5998626726854650E-01 -8.3586158352556039E-01
 -8.2253134648764181E-01 -5.5998626726854650E-01  8.3586158352556039E-01
  8.2253134648764181E-01 -5.5998626726854650E-01 -8.3586158352556039E-01
 -8.2253134648764181E-01  5.5998626726854650E-01  8.3586158352556039E-01
  4.1126567324382091E-01 -5.5998626726854650E-01 -1.1203486745086491E+00
 -4.1126567324382091E-01  5.5998626726854650E-01  1.1203486745086491E+00
  4.1126567324382091E-01  5.5998626726854650E-01 -1.1203486745086491E+00
 -4.1126567324382091E-01 -5.5998626726854650E-01  1.1203486745086491E+00
  8.2253134648764181E-01  0.0000000000000000E+00  1.0372527704634231E+00
 -8.2253134648764181E-01  0.0000000000000000E+00 -1.0372527704634231E+00
 -1.2337970197314627E+00  0.0000000000000000E+00  5.5137449254247173E-01
  1.2337970197314627E+00  0.0000000000000000E+00 -5.5137449254247173E-01
  1.2337970197314627E+00  5.5998626726854650E-01 -8.3095904045225877E-02
  1.2337970197314627E+00 -5.5998626726854650E-01 -8.3095904045225877E-02
 -1.2337970197314627E+00 -5.5998626726854650E-01  8.3095904045225877E-02
 -1.2337970197314627E+00  5.5998626726854650E-01  8.3095904045225877E-02
 -4.1126567324382091E-01  1.1199725345370930E+00  6.5207008601140304E-01
  4.1126567324382091E-01 -1.1199725345370930E+00 -6.5207008601140304E-01
 -4.1126567324382091E-01 -1.1199725345370930E+00  6.5207008601140304E-01
  4.1126567324382091E-01  1.1199725345370930E+00 -6.5207008601140304E-01
 -8.2253134648764181E-01 -1.1199725345370930E+00 -1.0069559346893137E-01
  8.2253134648764181E-01  1.1199725345370930E+00  1.0069559346893137E-01
 -8.2253134648764181E-01  1.1199725345370930E+00 -1.0069559346893137E-01
  8.2253134648764181E-01 -1.1199725345370930E+00  1.0069559346893137E-01
  0.0000000000000000E+00  0.0000000000000000E+00 -1.4048357654917376E+00
  0.0000000000000000E+00  0.0000000000000000E+00  1.4048357654917376E+00
 -4.1126567324382091E-01 -5.5998626726854650E-01 -1.2210442679775804E+00
 -4.1126567324382091E-01  5.5998626726854650E-01 -1.2210442679775804E+00
  4.1126567324382091E-01 -5.5998626726854650E-01  1.2210442679775804E+00
  4.1126567324382091E-01  5.5998626726854650E-01  1.2210442679775804E+00
 -1.2337970197314627E+00  5.5998626726854650E-01 -3.8518268445201997E-01
  1.2337970197314627E+00 -5.5998626726854650E-01  3.8518268445201997E-01
 -1.2337970197314627E+00 -5.5998626726854650E-01 -3.8518268445201997E-01
  1.2337970197314627E+00  5.5998626726854650E-01  3.8518268445201997E-01
 -4.1126567324382091E-01  1.1199725345370930E+00 -7.5276567948033446E-01
  4.1126567324382091E-01  1.1199725345370930E+00  7.5276567948033446E-01
 -4.1126567324382091E-01 -1.1199725345370930E+00 -7.5276567948033446E-01
  4.1126567324382091E-01 -1.1199725345370930E+00  7.5276567948033446E-01
 -8.2253134648764181E-01  1.1199725345370930E+00  3.6758299502831449E-01
  8.2253134648764181E-01 -1.1199725345370930E+00 -3.6758299502831449E-01
 -8.2253134648764181E-01 -1.1199725345370930E+00  3.6758299502831449E-01
  8.2253134648764181E-01  1.1199725345370930E+00 -3.6758299502831449E-01
 -8.2253134648764181E-01 -5.5998626726854650E-01 -1.0372527704634231E+00
 -8.2253134648764181E-01  5.5998626726854650E-01 -1.0372527704634231E+00
  8.2253134648764181E-01 -5.5998626726854650E-01  1.0372527704634231E+00
  8.2253134648764181E-01  5.5998626726854650E-01  1.0372527704634231E+00
  0.0000000000000000E+00 -1.1199725345370930E+00 -9.3655717699449170E-01
  0.0000000000000000E+00  1.1199725345370930E+00 -9.3655717699449170E-01
  0.0000000000000000E+00 -1.1199725345370930E+00  9.3655717699449170E-01
  0.0000000000000000E+00  1.1199725345370930E+00  9.3655717699449170E-01
  1.2337970197314627E+00 -5.5998626726854650E-01 -5.5137449254247173E-01
 -1.2337970197314627E+00  5.5998626726854650E-01  5.5137449254247173E-01
 -1.2337970197314627E+00 -5.5998626726854650E-01  5.5137449254247173E-01
  1.2337970197314627E+00  5.5998626726854650E-01 -5.5137449254247173E-01
  1.2337970197314627E+00  0.0000000000000000E+00  8.5346127294926588E-01
 -1.2337970197314627E+00  0.0000000000000000E+00 -8.5346127294926588E-01
 -8.2253134648764181E-01 -1.1199725345370930E+00 -5.6897418196617722E-01
  8.2253134648764181E-01 -1.1199725345370930E+00  5.6897418196617722E-01
 -8.2253134648764181E-01  1.1199725345370930E+00 -5.6897418196617722E-01
  8.2253134648764181E-01  1.1199725345370930E+00  5.6897418196617722E-01
  0.0000000000000000E+00  5.5998626726854650E-01  1.4048357654917376E+00
